neighbourhood,cost
Allston-Brighton,2705
Dorchester,2597
Back Bay,3625
Jamaica Plain,2612
South Boston,3411
South End,3254
Fenway/Kenmore,3223
East Boston,2627
Beacon Hill,3129
Mattapan,2597
Downtown Crossing,3606
North End,3619
Charlestown,3103
Chinatown,3606
Roslindale,2265
Mission Hill,3222
West End,3226
Financial District,3540
Roxbury,2277
